0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.031	-0.003	1.011	0.999	17.000	17.000	17.000	17.000	17.000	17.000	17.000	17.000	1.000	2.000	2016.000	15.000	34.000	57.000	0.005	12803.736	1.020	15.182	15.647	0.013	0.000	0.000	0.000	0.000
0.352	0.000	0.000	0.000	0.000	0.000	0.000	0.027	-0.002	1.009	1.001	17.000	17.000	17.000	17.000	17.000	17.000	17.000	17.000	1.000	2.000	2016.000	15.000	34.000	57.000	0.005	12869.234	1.020	15.200	15.705	0.014	1.000	0.000	0.000	0.000
0.626	0.000	0.000	0.000	0.000	0.000	0.000	0.030	-0.002	1.008	1.006	17.000	17.000	17.000	17.000	17.000	17.000	17.000	17.000	1.000	2.000	2016.000	15.000	34.000	58.000	0.005	12894.051	1.021	15.097	15.733	0.013	2.000	0.000	0.000	0.000
0.926	0.000	0.000	0.000	0.000	0.000	0.000	0.033	-0.002	1.015	1.008	17.000	17.000	17.000	17.000	17.000	17.000	17.000	17.000	1.000	2.000	2016.000	15.000	34.000	58.000	0.005	12767.454	1.023	15.218	15.678	0.017	3.000	0.000	0.000	0.000
1.226	0.000	0.000	0.000	0.000	0.000	0.000	0.037	0.000	1.009	1.009	17.000	17.000	17.000	17.000	17.000	17.000	17.000	17.000	1.000	2.000	2016.000	15.000	34.000	58.000	0.005	12989.002	1.025	15.164	15.583	0.019	4.000	0.000	0.000	0.000
1.527	0.000	0.000	0.000	0.000	0.000	0.000	0.036	-0.004	1.015	1.000	17.000	17.000	17.000	17.000	17.000	17.000	17.000	17.000	1.000	2.000	2016.000	15.000	34.000	58.000	0.005	12668.884	1.019	15.084	15.662	0.014	5.000	0.000	0.000	0.000
1.827	0.000	0.000	0.000	0.000	0.000	0.000	0.039	-0.004	1.009	1.003	17.000	17.000	17.000	17.000	17.000	17.000	17.000	17.000	1.000	2.000	2016.000	15.000	34.000	59.000	0.005	12948.860	1.024	15.218	15.668	0.023	6.000	0.000	0.000	0.000
2.127	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.001	1.007	1.009	17.000	17.000	17.000	17.000	17.000	17.000	17.000	17.000	1.000	2.000	2016.000	15.000	34.000	59.000	0.005	12990.274	1.023	15.155	15.672	0.020	7.000	0.000	0.000	0.000
2.476	0.000	0.000	0.000	0.000	0.000	0.000	0.046	-0.001	1.026	1.001	17.000	17.000	17.000	17.000	17.000	17.000	17.000	17.000	1.000	2.000	2016.000	15.000	34.000	59.000	0.005	12466.942	1.021	15.128	15.696	0.027	8.000	0.000	0.000	0.000
2.876	0.000	0.000	0.000	0.000	0.000	0.000	0.049	-0.004	1.013	1.006	17.000	17.000	17.000	17.000	17.000	17.000	17.000	17.000	1.000	2.000	2016.000	15.000	35.000	0.000	0.005	12719.068	1.019	15.207	15.625	0.029	9.000	0.000	0.000	0.000
